"Subject","EV_Hits_B1","EV_Hits_B2","EV_Hits_B3","EV_Hits_B4","EV_Hits_B5","EV_Hits_B6","EV_FA_B1","EV_FA_B2","EV_FA_B3","EV_FA_B4","EV_FA_B5","EV_FA_B6","EV_Ap_B1","EV_Ap_B2","EV_Ap_B3","EV_Ap_B4","EV_Ap_B5","EV_Ap_B6","EV_Bp_B1","EV_Bp_B2","EV_Bp_B3","EV_Bp_B4","EV_Bp_B5","EV_Bp_B6"
197,75,75,62.5,68.75,62.5,68.75,0,0,5,5.88235294117647,11.7647058823529,0,0.9375,0.9375,0.881315789473684,0.895601813168449,0.846691176470588,0.921875,1,1,0.662971175166297,0.590215597018658,0.386091127098321,1
198,50,62.5,25,50,50,50,4.34782608695652,12.5,6.25,4.16666666666667,0,0,0.847579051383399,0.842857142857143,0.7375,0.848731884057971,0.875,0.875,0.714748784440843,0.363636363636364,0.523809523809524,0.724550898203593,1,1
199,68.75,75,87.5,62.5,75,50,0,13.6363636363636,10,4.34782608695652,9.09090909090909,4.76190476190476,0.921875,0.882177033492823,0.936706349206349,0.88459733201581,0.90094696969697,0.844940476190476,1,0.228426395939086,0.0971786833855799,0.698597880766349,0.388145315487572,0.692898272552783
200,87.5,93.75,81.25,75,56.25,87.5,0,9.09090909090909,0,8,0,4.54545454545455,0.96875,0.958570075757576,0.953125,0.905398550724638,0.890625,0.954274891774892,1,-0.170285714285714,1,0.436231328992723,1,0.431952662721894
201,75,62.5,56.25,75,75,75,15,0,5,0,0,0,0.876470588235294,0.90625,0.862646198830409,0.9375,0.9375,0.9375,0.19047619047619,1,0.676423629590208,1,1,1
202,68.75,62.5,56.25,62.5,56.25,37.5,0,0,0,0,0,0,0.921875,0.90625,0.890625,0.90625,0.890625,0.84375,1,1,1,1,1,1
203,62.5,87.5,68.75,75,68.75,81.25,5.88235294117647,0,0,4.16666666666667,0,0,0.876861213235294,0.96875,0.921875,0.920893719806763,0.921875,0.953125,0.61783914909498,1,1,0.648854961832061,1,1
204,62.5,56.25,75,37.5,50,68.75,5.88235294117647,0,9.52380952380952,0,0,0,0.876861213235294,0.890625,0.899175020885547,0.84375,0.875,0.921875,0.61783914909498,1,0.37027446918695,1,1,1
205,81.25,75,81.25,81.25,81.25,87.5,5.55555555555556,0,0,4.54545454545455,5,4.54545454545455,0.933273629964806,0.9375,0.953125,0.936906843156843,0.935273279352227,0.954274891774892,0.487638332940899,1,1,0.556655121227115,0.524628616106333,0.431952662721894
206,93.75,87.5,56.25,68.75,75,68.75,17.6470588235294,25,20,15.3846153846154,22.2222222222222,0,0.933967962184874,0.886904761904762,0.774392361111111,0.851726398601399,0.845568783068783,0.921875,-0.425333068204414,-0.263157894736842,0.212004617160446,0.245394252026529,0.0406852248394005,1
207,87.5,56.25,56.25,68.75,75,62.5,6.25,11.1111111111111,14.2857142857143,5,0,7.69230769230769,0.948809523809524,0.827570408950617,0.80890376984127,0.899581339712919,0.9375,0.867668269230769,0.302325581395349,0.427212977205985,0.335496430889033,0.63787969029184,1,0.534968210717529
208,75,56.25,56.25,56.25,37.5,56.25,4.76190476190476,5.88235294117647,0,0,0,0,0.918501984126984,0.857645271650327,0.890625,0.890625,0.84375,0.890625,0.610468654899574,0.632695153118415,1,1,1,1
